Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
 hepatitis A,  vomiting,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  diarrhoea,  mild_fever,  yellowing_of_eyes,  muscle_pain, , , , , , , 
 hepatitis A,  joint_pain,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  diarrhoea,  mild_fever,  yellowing_of_eyes,  muscle_pain, , , , , , , 
 hepatitis A,  joint_pain,  vomiting,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  diarrhoea,  mild_fever,  yellowing_of_eyes,  muscle_pain, , , , , , , 
 hepatitis A,  joint_pain,  vomiting,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain,  diarrhoea,  mild_fever,  yellowing_of_eyes,  muscle_pain, , , , , , , 
 hepatitis A,  joint_pain,  vomiting,  yellowish_skin,  dark_urine,  loss_of_appetite,  abdominal_pain,  diarrhoea,  mild_fever,  yellowing_of_eyes,  muscle_pain, , , , , , , 
 hepatitis A,  joint_pain,  vomiting,  yellowish_skin,  dark_urine,  nausea,  abdominal_pain,  diarrhoea,  mild_fever,  yellowing_of_eyes,  muscle_pain, , , , , , , 
 hepatitis A,  joint_pain,  vomiting,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  diarrhoea,  mild_fever,  yellowing_of_eyes,  muscle_pain, , , , , , , 
 Hypertension ,  chest_pain,  dizziness,  loss_of_balance,  lack_of_concentration, , , , , , , , , , , , , 
 hepatitis A,  joint_pain,  vomiting,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  mild_fever,  yellowing_of_eyes,  muscle_pain, , , , , , , 
 Hepatitis B, itching,  fatigue,  lethargy,  yellowish_skin,  dark_urine,  loss_of_appetite,  abdominal_pain,  yellow_urine,  yellowing_of_eyes,  malaise,  receiving_blood_transfusion,  receiving_unsterile_injections, , , , , 
 Hepatitis B, itching,  fatigue,  lethargy,  yellowish_skin,  dark_urine,  loss_of_appetite,  abdominal_pain,  yellow_urine,  yellowing_of_eyes,  malaise,  receiving_blood_transfusion,  receiving_unsterile_injections, , , , , 
 Hepatitis B,  fatigue,  lethargy,  yellowish_skin,  dark_urine,  loss_of_appetite,  abdominal_pain,  yellow_urine,  yellowing_of_eyes,  malaise,  receiving_blood_transfusion,  receiving_unsterile_injections, , , , , , 
 Hepatitis B, itching,  lethargy,  yellowish_skin,  dark_urine,  loss_of_appetite,  abdominal_pain,  yellow_urine,  yellowing_of_eyes,  malaise,  receiving_blood_transfusion,  receiving_unsterile_injections, , , , , , 
 Hepatitis B, itching,  fatigue,  yellowish_skin,  dark_urine,  loss_of_appetite,  abdominal_pain,  yellow_urine,  yellowing_of_eyes,  malaise,  receiving_blood_transfusion,  receiving_unsterile_injections, , , , , , 
 Hepatitis B, itching,  fatigue,  lethargy,  dark_urine,  loss_of_appetite,  abdominal_pain,  yellow_urine,  yellowing_of_eyes,  malaise,  receiving_blood_transfusion,  receiving_unsterile_injections, , , , , , 
 Hepatitis B, itching,  fatigue,  lethargy,  yellowish_skin,  loss_of_appetite,  abdominal_pain,  yellow_urine,  yellowing_of_eyes,  malaise,  receiving_blood_transfusion,  receiving_unsterile_injections, , , , , , 
 Hepatitis B, itching,  fatigue,  lethargy,  yellowish_skin,  dark_urine,  abdominal_pain,  yellow_urine,  yellowing_of_eyes,  malaise,  receiving_blood_transfusion,  receiving_unsterile_injections, , , , , , 
 Hepatitis B, itching,  fatigue,  lethargy,  yellowish_skin,  dark_urine,  loss_of_appetite,  yellow_urine,  yellowing_of_eyes,  malaise,  receiving_blood_transfusion,  receiving_unsterile_injections, , , , , , 
 Hypertension ,  headache,  dizziness,  loss_of_balance,  lack_of_concentration, , , , , , , , , , , , , 
 Hepatitis B, itching,  fatigue,  lethargy,  yellowish_skin,  dark_urine,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes,  malaise,  receiving_blood_transfusion,  receiving_unsterile_injections, , , , , , 
 Hepatitis C,  fatigue,  yellowish_skin,  nausea,  loss_of_appetite,  family_history, , , , , , , , , , , , 
 Hepatitis C,  fatigue,  yellowish_skin,  nausea,  loss_of_appetite,  yellowing_of_eyes,  family_history, , , , , , , , , , , 
 Hepatitis C,  yellowish_skin,  nausea,  loss_of_appetite,  yellowing_of_eyes,  family_history, , , , , , , , , , , , 
 Hepatitis C,  fatigue,  nausea,  loss_of_appetite,  yellowing_of_eyes,  family_history, , , , , , , , , , , , 
 Hepatitis C,  fatigue,  yellowish_skin,  loss_of_appetite,  yellowing_of_eyes,  family_history, , , , , , , , , , , , 
 Hepatitis C,  fatigue,  yellowish_skin,  nausea,  yellowing_of_eyes,  family_history, , , , , , , , , , , , 
 Hepatitis C,  fatigue,  yellowish_skin,  nausea,  loss_of_appetite,  family_history, , , , , , , , , , , , 
 Hepatitis C,  fatigue,  yellowish_skin,  nausea,  loss_of_appetite,  yellowing_of_eyes, , , , , , , , , , , , 
 Hepatitis C,  fatigue,  yellowish_skin,  nausea,  loss_of_appetite,  yellowing_of_eyes,  family_history, , , , , , , , , , , 
 Hypertension ,  headache,  chest_pain,  loss_of_balance,  lack_of_concentration, , , , , , , , , , , , , 
 Hepatitis C,  fatigue,  yellowish_skin,  nausea,  loss_of_appetite,  yellowing_of_eyes,  family_history, , , , , , , , , , , 
 Hepatitis D,  joint_pain,  vomiting,  fatigue,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes, , , , , , , , 
 Hepatitis D,  vomiting,  fatigue,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes, , , , , , , , , 
 Hepatitis D,  joint_pain,  fatigue,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes, , , , , , , , , 
 Hepatitis D,  joint_pain,  vomiting,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes, , , , , , , , , 
 Hepatitis D,  joint_pain,  vomiting,  fatigue,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes, , , , , , , , , 
 Hepatitis D,  joint_pain,  vomiting,  fatigue,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes, , , , , , , , , 
 Hepatitis D,  joint_pain,  vomiting,  fatigue,  yellowish_skin,  dark_urine,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes, , , , , , , , , 
 Hepatitis D,  joint_pain,  vomiting,  fatigue,  yellowish_skin,  dark_urine,  nausea,  abdominal_pain,  yellowing_of_eyes, , , , , , , , , 
 Hepatitis D,  joint_pain,  vomiting,  fatigue,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  yellowing_of_eyes, , , , , , , , , 
 Hypertension ,  headache,  chest_pain,  dizziness,  lack_of_concentration, , , , , , , , , , , , , 
 Hepatitis D,  joint_pain,  vomiting,  fatigue,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain, , , , , , , , , 
 Hepatitis E,  joint_pain,  vomiting,  fatigue,  high_fever,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes,  coma,  stomach_bleeding, , , , , 
 Hepatitis E,  joint_pain,  vomiting,  fatigue,  high_fever,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes,  acute_liver_failure,  coma,  stomach_bleeding, , , , 
 Hepatitis E,  joint_pain,  vomiting,  fatigue,  high_fever,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes,  acute_liver_failure,  coma,  stomach_bleeding, , , , 
 Hepatitis E,  vomiting,  fatigue,  high_fever,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes,  acute_liver_failure,  coma,  stomach_bleeding, , , , , 
 Hepatitis E,  joint_pain,  fatigue,  high_fever,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes,  acute_liver_failure,  coma,  stomach_bleeding, , , , , 
 Hepatitis E,  joint_pain,  vomiting,  high_fever,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes,  acute_liver_failure,  coma,  stomach_bleeding, , , , , 
 Hepatitis E,  joint_pain,  vomiting,  fatigue,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes,  acute_liver_failure,  coma,  stomach_bleeding, , , , , 
 Hepatitis E,  joint_pain,  vomiting,  fatigue,  high_fever,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes,  acute_liver_failure,  coma,  stomach_bleeding, , , , , 
 Hepatitis E,  joint_pain,  vomiting,  fatigue,  high_fever,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes,  acute_liver_failure,  coma,  stomach_bleeding, , , , , 
 Hypertension ,  headache,  chest_pain,  dizziness,  loss_of_balance, , , , , , , , , , , , , 
 Hepatitis E,  joint_pain,  vomiting,  fatigue,  high_fever,  yellowish_skin,  dark_urine,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes,  acute_liver_failure,  coma,  stomach_bleeding, , , , , 
 Alcoholic hepatitis,  vomiting,  yellowish_skin,  abdominal_pain,  swelling_of_stomach,  distention_of_abdomen,  history_of_alcohol_consumption,  fluid_overload, , , , , , , , , , 
 Alcoholic hepatitis,  vomiting,  yellowish_skin,  abdominal_pain,  swelling_of_stomach,  distention_of_abdomen,  history_of_alcohol_consumption,  fluid_overload, , , , , , , , , , 
 Alcoholic hepatitis,  yellowish_skin,  abdominal_pain,  swelling_of_stomach,  distention_of_abdomen,  history_of_alcohol_consumption,  fluid_overload, , , , , , , , , , , 
 Alcoholic hepatitis,  vomiting,  abdominal_pain,  swelling_of_stomach,  distention_of_abdomen,  history_of_alcohol_consumption,  fluid_overload, , , , , , , , , , , 
 Alcoholic hepatitis,  vomiting,  yellowish_skin,  swelling_of_stomach,  distention_of_abdomen,  history_of_alcohol_consumption,  fluid_overload, , , , , , , , , , , 
 Alcoholic hepatitis,  vomiting,  yellowish_skin,  abdominal_pain,  distention_of_abdomen,  history_of_alcohol_consumption,  fluid_overload, , , , , , , , , , , 
 Alcoholic hepatitis,  vomiting,  yellowish_skin,  abdominal_pain,  swelling_of_stomach,  history_of_alcohol_consumption,  fluid_overload, , , , , , , , , , , 
 Alcoholic hepatitis,  vomiting,  yellowish_skin,  abdominal_pain,  swelling_of_stomach,  distention_of_abdomen,  fluid_overload, , , , , , , , , , , 
 Alcoholic hepatitis,  vomiting,  yellowish_skin,  abdominal_pain,  swelling_of_stomach,  distention_of_abdomen,  history_of_alcohol_consumption, , , , , , , , , , , 
 Hypertension ,  headache,  chest_pain,  dizziness,  loss_of_balance,  lack_of_concentration, , , , , , , , , , , , 
 Alcoholic hepatitis,  vomiting,  yellowish_skin,  abdominal_pain,  swelling_of_stomach,  distention_of_abdomen,  history_of_alcohol_consumption,  fluid_overload, , , , , , , , , , 
 Tuberculosis,  chills,  vomiting,  fatigue,  weight_loss,  cough,  high_fever,  breathlessness,  sweating,  loss_of_appetite,  mild_fever,  yellowing_of_eyes,  swelled_lymph_nodes,  malaise,  phlegm,  chest_pain,  blood_in_sputum, 
 Tuberculosis,  chills,  vomiting,  fatigue,  weight_loss,  cough,  high_fever,  breathlessness,  sweating,  loss_of_appetite,  mild_fever,  yellowing_of_eyes,  swelled_lymph_nodes,  malaise,  phlegm,  chest_pain,  blood_in_sputum, 
 Tuberculosis,  vomiting,  fatigue,  weight_loss,  cough,  high_fever,  breathlessness,  sweating,  loss_of_appetite,  mild_fever,  yellowing_of_eyes,  swelled_lymph_nodes,  malaise,  phlegm,  chest_pain,  blood_in_sputum, , 
 Tuberculosis,  chills,  fatigue,  weight_loss,  cough,  high_fever,  breathlessness,  sweating,  loss_of_appetite,  mild_fever,  yellowing_of_eyes,  swelled_lymph_nodes,  malaise,  phlegm,  chest_pain,  blood_in_sputum, , 
 Tuberculosis,  chills,  vomiting,  weight_loss,  cough,  high_fever,  breathlessness,  sweating,  loss_of_appetite,  mild_fever,  yellowing_of_eyes,  swelled_lymph_nodes,  malaise,  phlegm,  chest_pain,  blood_in_sputum, , 
 Tuberculosis,  chills,  vomiting,  fatigue,  cough,  high_fever,  breathlessness,  sweating,  loss_of_appetite,  mild_fever,  yellowing_of_eyes,  swelled_lymph_nodes,  malaise,  phlegm,  chest_pain,  blood_in_sputum, , 
 Tuberculosis,  chills,  vomiting,  fatigue,  weight_loss,  high_fever,  breathlessness,  sweating,  loss_of_appetite,  mild_fever,  yellowing_of_eyes,  swelled_lymph_nodes,  malaise,  phlegm,  chest_pain,  blood_in_sputum, , 
 Tuberculosis,  chills,  vomiting,  fatigue,  weight_loss,  cough,  breathlessness,  sweating,  loss_of_appetite,  mild_fever,  yellowing_of_eyes,  swelled_lymph_nodes,  malaise,  phlegm,  chest_pain,  blood_in_sputum, , 
 Tuberculosis,  chills,  vomiting,  fatigue,  weight_loss,  cough,  high_fever,  sweating,  loss_of_appetite,  mild_fever,  yellowing_of_eyes,  swelled_lymph_nodes,  malaise,  phlegm,  chest_pain,  blood_in_sputum, , 
 Hypertension ,  chest_pain,  dizziness,  loss_of_balance,  lack_of_concentration, , , , , , , , , , , , , 
 Tuberculosis,  chills,  vomiting,  fatigue,  weight_loss,  cough,  high_fever,  breathlessness,  loss_of_appetite,  mild_fever,  yellowing_of_eyes,  swelled_lymph_nodes,  malaise,  phlegm,  chest_pain,  blood_in_sputum, , 
 Common Cold,  continuous_sneezing,  chills,  fatigue,  cough,  high_fever,  headache,  swelled_lymph_nodes,  malaise,  phlegm,  throat_irritation,  redness_of_eyes,  sinus_pressure,  runny_nose,  congestion,  chest_pain,  loss_of_smell,  muscle_pain
 Common Cold,  continuous_sneezing,  chills,  fatigue,  cough,  high_fever,  headache,  swelled_lymph_nodes,  malaise,  phlegm,  throat_irritation,  redness_of_eyes,  sinus_pressure,  runny_nose,  congestion,  chest_pain,  loss_of_smell,  muscle_pain
 Common Cold,  chills,  fatigue,  cough,  high_fever,  headache,  swelled_lymph_nodes,  malaise,  phlegm,  throat_irritation,  redness_of_eyes,  sinus_pressure,  runny_nose,  congestion,  chest_pain,  loss_of_smell,  muscle_pain, 
 Common Cold,  continuous_sneezing,  fatigue,  cough,  high_fever,  headache,  swelled_lymph_nodes,  malaise,  phlegm,  throat_irritation,  redness_of_eyes,  sinus_pressure,  runny_nose,  congestion,  chest_pain,  loss_of_smell,  muscle_pain, 
 Common Cold,  continuous_sneezing,  chills,  cough,  high_fever,  headache,  swelled_lymph_nodes,  malaise,  phlegm,  throat_irritation,  redness_of_eyes,  sinus_pressure,  runny_nose,  congestion,  chest_pain,  loss_of_smell,  muscle_pain, 
 Common Cold,  continuous_sneezing,  chills,  fatigue,  high_fever,  headache,  swelled_lymph_nodes,  malaise,  phlegm,  throat_irritation,  redness_of_eyes,  sinus_pressure,  runny_nose,  congestion,  chest_pain,  loss_of_smell,  muscle_pain, 
 Common Cold,  continuous_sneezing,  chills,  fatigue,  cough,  headache,  swelled_lymph_nodes,  malaise,  phlegm,  throat_irritation,  redness_of_eyes,  sinus_pressure,  runny_nose,  congestion,  chest_pain,  loss_of_smell,  muscle_pain, 
 Common Cold,  continuous_sneezing,  chills,  fatigue,  cough,  high_fever,  swelled_lymph_nodes,  malaise,  phlegm,  throat_irritation,  redness_of_eyes,  sinus_pressure,  runny_nose,  congestion,  chest_pain,  loss_of_smell,  muscle_pain, 
 Common Cold,  continuous_sneezing,  chills,  fatigue,  cough,  high_fever,  headache,  malaise,  phlegm,  throat_irritation,  redness_of_eyes,  sinus_pressure,  runny_nose,  congestion,  chest_pain,  loss_of_smell,  muscle_pain, 
 Hypertension ,  headache,  dizziness,  loss_of_balance,  lack_of_concentration, , , , , , , , , , , , , 
 Common Cold,  continuous_sneezing,  chills,  fatigue,  cough,  high_fever,  headache,  swelled_lymph_nodes,  phlegm,  throat_irritation,  redness_of_eyes,  sinus_pressure,  runny_nose,  congestion,  chest_pain,  loss_of_smell,  muscle_pain, 
 Pneumonia,  chills,  fatigue,  cough,  high_fever,  breathlessness,  sweating,  malaise,  chest_pain,  fast_heart_rate,  rusty_sputum, , , , , , , 
 Pneumonia,  chills,  fatigue,  cough,  high_fever,  breathlessness,  sweating,  malaise,  phlegm,  chest_pain,  fast_heart_rate,  rusty_sputum, , , , , , 
 Pneumonia,  chills,  fatigue,  cough,  high_fever,  breathlessness,  sweating,  malaise,  phlegm,  chest_pain,  fast_heart_rate,  rusty_sputum, , , , , , 
 Pneumonia,  fatigue,  cough,  high_fever,  breathlessness,  sweating,  malaise,  phlegm,  chest_pain,  fast_heart_rate,  rusty_sputum, , , , , , , 
 Pneumonia,  chills,  cough,  high_fever,  breathlessness,  sweating,  malaise,  phlegm,  chest_pain,  fast_heart_rate,  rusty_sputum, , , , , , , 
 Pneumonia,  chills,  fatigue,  high_fever,  breathlessness,  sweating,  malaise,  phlegm,  chest_pain,  fast_heart_rate,  rusty_sputum, , , , , , , 
 Pneumonia,  chills,  fatigue,  cough,  breathlessness,  sweating,  malaise,  phlegm,  chest_pain,  fast_heart_rate,  rusty_sputum, , , , , , , 
 Pneumonia,  chills,  fatigue,  cough,  high_fever,  sweating,  malaise,  phlegm,  chest_pain,  fast_heart_rate,  rusty_sputum, , , , , , , 
 Pneumonia,  chills,  fatigue,  cough,  high_fever,  breathlessness,  malaise,  phlegm,  chest_pain,  fast_heart_rate,  rusty_sputum, , , , , , , 
 Allergy,  continuous_sneezing,  shivering,  chills,  watering_from_eyes, , , , , , , , , , , , , 
 Hypertension ,  headache,  chest_pain,  loss_of_balance,  lack_of_concentration, , , , , , , , , , , , , 
 Pneumonia,  chills,  fatigue,  cough,  high_fever,  breathlessness,  sweating,  phlegm,  chest_pain,  fast_heart_rate,  rusty_sputum, , , , , , , 
 Dimorphic hemmorhoids(piles),  constipation,  pain_during_bowel_movements,  pain_in_anal_region,  bloody_stool,  irritation_in_anus, , , , , , , , , , , , 
 Dimorphic hemmorhoids(piles),  constipation,  pain_during_bowel_movements,  pain_in_anal_region,  bloody_stool,  irritation_in_anus, , , , , , , , , , , , 
 Dimorphic hemmorhoids(piles),  constipation,  pain_during_bowel_movements,  pain_in_anal_region,  bloody_stool,  irritation_in_anus, , , , , , , , , , , , 
 Dimorphic hemmorhoids(piles),  pain_during_bowel_movements,  pain_in_anal_region,  bloody_stool,  irritation_in_anus, , , , , , , , , , , , , 
 Dimorphic hemmorhoids(piles),  constipation,  pain_in_anal_region,  bloody_stool,  irritation_in_anus, , , , , , , , , , , , , 
 Dimorphic hemmorhoids(piles),  constipation,  pain_during_bowel_movements,  bloody_stool,  irritation_in_anus, , , , , , , , , , , , , 
 Dimorphic hemmorhoids(piles),  constipation,  pain_during_bowel_movements,  pain_in_anal_region,  irritation_in_anus, , , , , , , , , , , , , 
 Dimorphic hemmorhoids(piles),  constipation,  pain_during_bowel_movements,  pain_in_anal_region,  bloody_stool, , , , , , , , , , , , , 
 Dimorphic hemmorhoids(piles),  constipation,  pain_during_bowel_movements,  pain_in_anal_region,  bloody_stool,  irritation_in_anus, , , , , , , , , , , , 
 Migraine,  acidity,  indigestion,  headache,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  depression,  irritability,  visual_disturbances, , , , , , , , 
 Dimorphic hemmorhoids(piles),  constipation,  pain_during_bowel_movements,  pain_in_anal_region,  bloody_stool,  irritation_in_anus, , , , , , , , , , , , 
 Heart attack,  vomiting,  breathlessness,  sweating,  chest_pain, , , , , , , , , , , , , 
 Heart attack,  vomiting,  breathlessness,  sweating,  chest_pain, , , , , , , , , , , , , 
 Heart attack,  breathlessness,  sweating,  chest_pain, , , , , , , , , , , , , , 
 Heart attack,  vomiting,  sweating,  chest_pain, , , , , , , , , , , , , , 
 Heart attack,  vomiting,  breathlessness,  chest_pain, , , , , , , , , , , , , , 
 Heart attack,  vomiting,  breathlessness,  sweating, , , , , , , , , , , , , , 
 Heart attack,  vomiting,  breathlessness,  sweating,  chest_pain, , , , , , , , , , , , , 
 Heart attack,  breathlessness,  sweating,  chest_pain, , , , , , , , , , , , , , 
 Heart attack,  vomiting,  sweating,  chest_pain, , , , , , , , , , , , , , 
 Migraine,  indigestion,  headache,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  depression,  irritability,  visual_disturbances, , , , , , , , , 
 Heart attack,  vomiting,  breathlessness,  chest_pain, , , , , , , , , , , , , , 
 Varicose veins,  fatigue,  cramps,  bruising,  obesity,  swollen_legs,  swollen_blood_vessels,  prominent_veins_on_calf, , , , , , , , , , 
 Varicose veins,  fatigue,  cramps,  bruising,  obesity,  swollen_legs,  swollen_blood_vessels,  prominent_veins_on_calf, , , , , , , , , , 
 Varicose veins,  cramps,  bruising,  obesity,  swollen_legs,  swollen_blood_vessels,  prominent_veins_on_calf, , , , , , , , , , , 
 Varicose veins,  fatigue,  bruising,  obesity,  swollen_legs,  swollen_blood_vessels,  prominent_veins_on_calf, , , , , , , , , , , 
 Varicose veins,  fatigue,  cramps,  obesity,  swollen_legs,  swollen_blood_vessels,  prominent_veins_on_calf, , , , , , , , , , , 
 Varicose veins,  fatigue,  cramps,  bruising,  swollen_legs,  swollen_blood_vessels,  prominent_veins_on_calf, , , , , , , , , , , 
 Varicose veins,  fatigue,  cramps,  bruising,  obesity,  swollen_blood_vessels,  prominent_veins_on_calf, , , , , , , , , , , 
 Varicose veins,  fatigue,  cramps,  bruising,  obesity,  swollen_legs,  prominent_veins_on_calf, , , , , , , , , , , 
 Varicose veins,  fatigue,  cramps,  bruising,  obesity,  swollen_legs,  swollen_blood_vessels, , , , , , , , , , , 
 Migraine,  acidity,  headache,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  depression,  irritability,  visual_disturbances, , , , , , , , , 
 Varicose veins,  fatigue,  cramps,  bruising,  obesity,  swollen_legs,  prominent_veins_on_calf, , , , , , , , , , , 
 Hypothyroidism,  fatigue,  weight_gain,  cold_hands_and_feets,  mood_swings,  lethargy,  dizziness,  puffy_face_and_eyes,  enlarged_thyroid,  brittle_nails,  swollen_extremeties,  depression,  irritability,  abnormal_menstruation, , , , 
 Hypothyroidism,  fatigue,  weight_gain,  cold_hands_and_feets,  mood_swings,  lethargy,  dizziness,  puffy_face_and_eyes,  enlarged_thyroid,  brittle_nails,  swollen_extremeties,  depression,  irritability,  abnormal_menstruation, , , , 
 Hypothyroidism,  weight_gain,  cold_hands_and_feets,  mood_swings,  lethargy,  dizziness,  puffy_face_and_eyes,  enlarged_thyroid,  brittle_nails,  swollen_extremeties,  depression,  irritability,  abnormal_menstruation, , , , , 
 Hypothyroidism,  weight_gain,  cold_hands_and_feets,  mood_swings,  lethargy,  dizziness,  puffy_face_and_eyes,  enlarged_thyroid,  brittle_nails,  swollen_extremeties,  depression,  irritability,  abnormal_menstruation, , , , , 
 Hypothyroidism,  fatigue,  cold_hands_and_feets,  mood_swings,  lethargy,  dizziness,  puffy_face_and_eyes,  enlarged_thyroid,  brittle_nails,  swollen_extremeties,  depression,  irritability,  abnormal_menstruation, , , , , 
 Hypothyroidism,  fatigue,  weight_gain,  mood_swings,  lethargy,  dizziness,  puffy_face_and_eyes,  enlarged_thyroid,  brittle_nails,  swollen_extremeties,  depression,  irritability,  abnormal_menstruation, , , , , 
 Hypothyroidism,  fatigue,  weight_gain,  cold_hands_and_feets,  lethargy,  dizziness,  puffy_face_and_eyes,  enlarged_thyroid,  brittle_nails,  swollen_extremeties,  depression,  irritability,  abnormal_menstruation, , , , , 
 Hypothyroidism,  fatigue,  weight_gain,  cold_hands_and_feets,  mood_swings,  dizziness,  puffy_face_and_eyes,  enlarged_thyroid,  brittle_nails,  swollen_extremeties,  depression,  irritability,  abnormal_menstruation, , , , , 
 Hypothyroidism,  fatigue,  weight_gain,  cold_hands_and_feets,  mood_swings,  lethargy,  puffy_face_and_eyes,  enlarged_thyroid,  brittle_nails,  swollen_extremeties,  depression,  irritability,  abnormal_menstruation, , , , , 
 Migraine,  acidity,  indigestion,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  depression,  irritability,  visual_disturbances, , , , , , , , , 
 Hypothyroidism,  fatigue,  weight_gain,  cold_hands_and_feets,  mood_swings,  lethargy,  dizziness,  enlarged_thyroid,  brittle_nails,  swollen_extremeties,  depression,  irritability,  abnormal_menstruation, , , , , 
